id,GridID,X_coord,Y_coord
1390,1289,1756870,5911750
1627,1292,1758370,5911750
1706,1293,1758870,5911750
1785,1294,1759370,5911750
1864,1295,1759870,5911750
1943,1296,1760370,5911750
2022,1297,1760870,5911750
2101,1298,1761370,5911750
2180,1299,1761870,5911750
2259,1300,1762370,5911750
2338,1301,1762870,5911750
2417,1302,1763370,5911750
2496,1303,1763870,5911750
2575,1304,1764370,5911750
2654,1305,1764870,5911750
2733,1306,1765370,5911750
2812,1307,1765870,5911750
2970,1309,1766870,5911750
3049,1310,1767370,5911750
3128,1311,1767870,5911750
3207,1312,1768370,5911750
3286,1313,1768870,5911750
3365,1314,1769370,5911750
836,1335,1753370,5912250
915,1336,1753870,5912250
994,1337,1754370,5912250
1073,1338,1754870,5912250
1152,1339,1755370,5912250
1231,1340,1755870,5912250
1310,1341,1756370,5912250
1389,1342,1756870,5912250
1468,1343,1757370,5912250
1547,1344,1757870,5912250
1626,1345,1758370,5912250
1705,1346,1758870,5912250
1784,1347,1759370,5912250
1863,1348,1759870,5912250
1942,1349,1760370,5912250
2021,1350,1760870,5912250
2100,1351,1761370,5912250
2179,1352,1761870,5912250
2258,1353,1762370,5912250
2337,1354,1762870,5912250
2416,1355,1763370,5912250
2495,1356,1763870,5912250
2574,1357,1764370,5912250
2653,1358,1764870,5912250
2732,1359,1765370,5912250
2811,1360,1765870,5912250
2969,1362,1766870,5912250
3048,1363,1767370,5912250
3127,1364,1767870,5912250
3206,1365,1768370,5912250
3285,1366,1768870,5912250
3364,1367,1769370,5912250
756,1387,1752870,5912750
835,1388,1753370,5912750
914,1389,1753870,5912750
993,1390,1754370,5912750
1072,1391,1754870,5912750
1151,1392,1755370,5912750
1230,1393,1755870,5912750
1309,1394,1756370,5912750
1388,1395,1756870,5912750
1467,1396,1757370,5912750
1546,1397,1757870,5912750
1625,1398,1758370,5912750
1704,1399,1758870,5912750
1783,1400,1759370,5912750
1862,1401,1759870,5912750
1941,1402,1760370,5912750
2020,1403,1760870,5912750
2099,1404,1761370,5912750
2178,1405,1761870,5912750
2257,1406,1762370,5912750
2336,1407,1762870,5912750
2415,1408,1763370,5912750
2494,1409,1763870,5912750
2573,1410,1764370,5912750
2652,1411,1764870,5912750
2889,1414,1766370,5912750
2968,1415,1766870,5912750
3047,1416,1767370,5912750
3126,1417,1767870,5912750
3205,1418,1768370,5912750
3284,1419,1768870,5912750
3363,1420,1769370,5912750
755,1440,1752870,5913250
834,1441,1753370,5913250
913,1442,1753870,5913250
992,1443,1754370,5913250
1071,1444,1754870,5913250
1150,1445,1755370,5913250
1229,1446,1755870,5913250
1308,1447,1756370,5913250
1387,1448,1756870,5913250
1466,1449,1757370,5913250
1545,1450,1757870,5913250
1624,1451,1758370,5913250
1703,1452,1758870,5913250
1782,1453,1759370,5913250
1861,1454,1759870,5913250
1940,1455,1760370,5913250
2019,1456,1760870,5913250
2098,1457,1761370,5913250
2177,1458,1761870,5913250
2256,1459,1762370,5913250
2335,1460,1762870,5913250
2414,1461,1763370,5913250
2493,1462,1763870,5913250
2572,1463,1764370,5913250
2651,1464,1764870,5913250
2809,1466,1765870,5913250
2888,1467,1766370,5913250
2967,1468,1766870,5913250
3046,1469,1767370,5913250
3125,1470,1767870,5913250
3204,1471,1768370,5913250
3283,1472,1768870,5913250
3362,1473,1769370,5913250
3441,1474,1769870,5913250
754,1493,1752870,5913750
833,1494,1753370,5913750
